Country;Cases  ;RDF;EUF;REG;TEC;ECO
Austria;0,55;102,51;22,23;5;218,7;7,39
Belgium;0,69;114,93;349,07;4;201,23;3,02
Bulgaria;0;17,18;34,29;0;150,72;3,3
Croatia;0;29,56;385,9;0;190,18;1,48
Cyprus;3,38;13,14;608,61;5;193,41;38,29
Czechia;0;65,99;6,46;0;196,57;8,58
Denmark;0,51;48,25;56,15;5;277,34;17,04
Estonia;3,77;34,36;498,62;5;226,05;12,08
Finland;0,36;97,04;58,98;3,5;278,39;2,34
France;0,13;95,64;17,98;5;213,32;3,54
Germany;0,16;176,55;28,89;5;211,53;1,09
Greece;0,28;49,17;158,38;4,5;155,72;2,36
Hungary;0;23,37;44,25;0;175,04;1,33
Ireland;0;32,4;112,63;4;250,95;20,16
Italy;0,65;55,07;56,52;5;197,02;1,84
Latvia;0;21,35;0;0;198,84;11,25
Lithuania;0,37;34,31;146,59;5;210,86;31,85
Luxembourg;6,2;294,81;140,01;5;235,41;117,76
Netherlands;1,93;57,6;62,59;4,5;269,48;2,78
Norway;0,37;188,66;0;4,5;221;4,94
Poland;0,08;3,46;47,71;5;162,19;1,57
Portugal;0,29;14,88;1,78;4,5;203,03;5,51
Romania;0,05;16,69;11,16;0;122,34;1,26
Slovakia;0;29,58;24,72;0;173,78;6,8
Slovenia;0;65,34;874,48;0;213,48;7,59
Spain;0,44;58,07;53,95;4;243,09;3,25
Sweden;0,48;66,38;22,42;5;260,89;2,52
Switzerland;0,91;23,54;0;5;216,99;7,41
